kind,lang,source_token,source_query_text,qid,wikidata_label,wikidata_aliases_json,mt_nllb,mt_madlad,mt_salamandra,vote_threshold,sim_nllb_madlad,sim_nllb_salamandra,sim_madlad_salamandra,agree_nllb_madlad,agree_nllb_salamandra,agree_madlad_salamandra,mt_voted,final_text,final_source,processed_at,cos_en_nllb,cos_en_madlad,cos_en_salamandra,gte_winner,lang_nllb,lang_madlad,lang_salamandra,output_token
entity,gl,"""''Alvinegro""",''Alvinegro,,,[],"""Alvinegro","""Alvinegro""","""Alvinegro""",0.9,0.9524,0.9524,1.0,1.0,1.0,1.0,"""Alvinegro","""Alvinegro",mt_vote_revoted_gte_langfilter,2026-03-09T10:17:53,0.9641896486282348,0.9609798192977904,0.9609798192977904,nllb,pl,pl,pl,"""Alvinegro"
entity,gl,"""+90 356""",+90 356,,,[],,,,0.9,,,,,,,,+90 356,passthrough_number_symbols,2026-03-05T13:03:30,,,,,und,und,und,+90_356
entity,gl,"""-7""",-7,,,[],,,,0.9,,,,,,,,-7,passthrough_number_symbols,2026-03-05T13:03:30,,,,,und,und,und,-7
entity,gl,"""-8""",-8,,,[],,,,0.9,,,,,,,,-8,passthrough_number_symbols,2026-03-05T13:03:30,,,,,und,und,und,-8
entity,gl,"""0-374-26131-8""",0-374-26131-8,,,[],,,,0.9,,,,,,,,0-374-26131-8,passthrough_number_symbols,2026-03-05T13:03:30,,,,,und,und,und,0-374-26131-8
entity,gl,"""0-439-17684-0""",0-439-17684-0,,,[],,,,0.9,,,,,,,,0-439-17684-0,passthrough_number_symbols,2026-03-05T13:03:30,,,,,und,und,und,0-439-17684-0
entity,gl,"""0-439-17685-9""",0-439-17685-9,,,[],,,,0.9,,,,,,,,0-439-17685-9,passthrough_number_symbols,2026-03-05T13:03:30,,,,,und,und,und,0-439-17685-9
entity,gl,"""0-439-92550-9""",0-439-92550-9,,,[],,,,0.9,,,,,,,,0-439-92550-9,passthrough_number_symbols,2026-03-05T13:03:30,,,,,und,und,und,0-439-92550-9
entity,gl,"""0-670-03380-4""",0-670-03380-4,,,[],,,,0.9,,,,,,,,0-670-03380-4,passthrough_number_symbols,2026-03-05T13:03:30,,,,,und,und,und,0-670-03380-4
entity,gl,"""0-7156-3648-0""",0-7156-3648-0,,,[],,,,0.9,,,,,,,,0-7156-3648-0,passthrough_number_symbols,2026-03-05T13:03:30,,,,,und,und,und,0-7156-3648-0
entity,gl,"""0-7653-0633-6""",0-7653-0633-6,,,[],,,,0.9,,,,,,,,0-7653-0633-6,passthrough_number_symbols,2026-03-05T13:03:30,,,,,und,und,und,0-7653-0633-6
entity,gl,"""0001-8392""",0001-8392,,,[],,,,0.9,,,,,,,,0001-8392,passthrough_number_symbols,2026-03-05T13:03:30,,,,,und,und,und,0001-8392
entity,gl,"""0002-9327""",0002-9327,,,[],,,,0.9,,,,,,,,0002-9327,passthrough_number_symbols,2026-03-05T13:03:30,,,,,und,und,und,0002-9327
entity,gl,"""0025-5858""",0025-5858,,,[],,,,0.9,,,,,,,,0025-5858,passthrough_number_symbols,2026-03-05T13:03:30,,,,,und,und,und,0025-5858
entity,gl,"""0236-5294""",0236-5294,,,[],,,,0.9,,,,,,,,0236-5294,passthrough_number_symbols,2026-03-05T13:03:30,,,,,und,und,und,0236-5294
entity,gl,"""0269-9370""",0269-9370,,,[],,,,0.9,,,,,,,,0269-9370,passthrough_number_symbols,2026-03-05T13:03:30,,,,,und,und,und,0269-9370
entity,gl,"""03/21""",03/21,,,[],,,,0.9,,,,,,,,03/21,passthrough_number_symbols,2026-03-05T13:03:30,,,,,und,und,und,03/21
entity,gl,"""03L/21R""",03L/21R,,,[],03L/21R,03L/21R,03L/21R,0.9,1.0,1.0,1.0,1.0,1.0,1.0,03L/21R,03L/21R,mt_vote,2026-03-05T13:03:30,,,,,en,en,en,03L/21R
