kind,lang,source_token,source_query_text,mt_nllb,mt_madlad,mt_salamandra,vote_threshold,sim_nllb_madlad,sim_nllb_salamandra,sim_madlad_salamandra,agree_nllb_madlad,agree_nllb_salamandra,agree_madlad_salamandra,mt_voted,final_text,final_source,processed_at,cos_en_nllb,cos_en_madlad,cos_en_salamandra,gte_winner,lang_nllb,lang_madlad,lang_salamandra,output_token
relation,eu,1stRunwayLengthFeet,1st Runway Length Feet,"Lehen pistaren luzera, oinetan.",1. pistaren luzera oinak,1. Pistaren luzera (oinetan),0.9,0.7636,0.8136,0.8846,0,0,0,1. pistaren luzera oinak,1. pistaren luzera oinak,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.5968753695487976,0.6850294470787048,0.6037032604217529,madlad,eu,eu,eu,1.PistarenLuzeraOinak
relation,eu,1stRunwayLengthMetre,1st Runway Length Metre,Lehen pistaren luzera metroan.,1. pistaren luzera metroa,1. Pistaren luzera (metrotan),0.9,0.8364,0.8136,0.9259,0,0,1,1. pistaren luzera metroa,1. pistaren luzera metroa,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.7114502191543579,0.7721000909805298,0.7136572599411011,madlad,eu,eu,eu,1.PistarenLuzeraMetroa
relation,eu,1stRunwayNumber,1st Runway Number,Lehen pistaren zenbakia.,1. pista zenbakia,1. Pista-zenbakia,0.9,0.7317,0.6829,0.9412,0,0,1,1. pista zenbakia,1. pista zenbakia,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.6567797660827637,0.6404725909233093,0.613461971282959,madlad,eu,eu,eu,1.PistaZenbakia
relation,eu,1stRunwaySurfaceType,1st Runway Surface Type,1. pistako gainazalaren mota,1. pistaren gainazal mota,1. Pistako gainazalaren mota,0.9,0.8302,1.0,0.8302,0,1,0,1. pistako gainazalaren mota,1. pistako gainazalaren mota,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.6113440990447998,0.6026198863983154,0.6075979471206665,nllb,eu,eu,eu,1.PistakoGainazalarenMota
relation,eu,2ndRunwaySurfaceType,2nd Runway Surface Type,2. pistako gainazalaren mota,2. pistaren gainazal mota,2. Pistako gainazalaren mota,0.9,0.8302,1.0,0.8302,0,1,0,2. pistako gainazalaren mota,2. pistako gainazalaren mota,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.6760278940200806,0.6721235513687134,0.6658084392547607,nllb,eu,eu,eu,2.PistakoGainazalarenMota
relation,eu,3rdRunwayLengthFeet,3rd Runway Length Feet,"3. pistako luzera, oinetan.",3. pistaren luzera oinak,3. Pista Luzera Oinak,0.9,0.7843,0.8333,0.9333,0,0,1,3. pistaren luzera oinak,3. pistaren luzera oinak,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.662563681602478,0.7119332551956177,0.5943477153778076,madlad,eu,eu,eu,3.PistarenLuzeraOinak
relation,eu,3rdRunwaySurfaceType,3rd Runway Surface Type,3. pistako gainazalaren mota,3. pistaren gainazal mota,3. Pistako gainazalaren mota,0.9,0.8302,1.0,0.8302,0,1,0,3. pistako gainazalaren mota,3. pistako gainazalaren mota,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.66490638256073,0.6609847545623779,0.6605023145675659,nllb,eu,eu,eu,3.PistakoGainazalarenMota
relation,eu,4thRunwayLengthFeet,4th Runway Length Feet,"Laugarren pistaren luzera, oinetan.",4. pistaren luzera oinak,4. Pista Luzera Oinak,0.9,0.7119,0.6429,0.9333,0,0,1,4. pistaren luzera oinak,4. pistaren luzera oinak,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.6147680282592773,0.7226436138153076,0.5947343111038208,madlad,eu,eu,eu,4.PistarenLuzeraOinak
relation,eu,4thRunwaySurfaceType,4th Runway Surface Type,4. pistako gainazalaren mota,4. pistaren gainazal mota,4. pistako gainazalaren mota,0.9,0.8302,1.0,0.8302,0,1,0,4. pistako gainazalaren mota,4. pistako gainazalaren mota,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.682045578956604,0.6818897128105164,0.682045578956604,nllb,eu,eu,eu,4.PistakoGainazalarenMota
relation,eu,5thRunwayNumber,5th Runway Number,5. pistako zenbakia.,5. pista zenbakia,5. pista-zenbakia,0.9,0.9189,0.8649,0.9412,1,0,1,5. pista-zenbakia,5. pista-zenbakia,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.7061537504196167,0.700359582901001,0.7328084707260132,salamandra,eu,eu,eu,5.Pista-zenbakia
relation,eu,5thRunwaySurfaceType,5th Runway Surface Type,5. pistako gainazalaren mota,5. pistaren gainazal mota,5. Pistako gainazalaren mota,0.9,0.8302,1.0,0.8302,0,1,0,5. pistako gainazalaren mota,5. pistako gainazalaren mota,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.6921950578689575,0.6865202188491821,0.6790249347686768,nllb,eu,eu,eu,5.PistakoGainazalarenMota
relation,eu,LCCN_number,LCCN number,LCCN zenbakia,LCCN zenbakia,LCCN zenbakia,0.9,1.0,1.0,1.0,1,1,1,LCCN zenbakia,LCCN zenbakia,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.7936411499977112,0.7936411499977112,0.7936411499977112,nllb,eu,eu,eu,LCCNZenbakia
relation,eu,NationalRegisterOfHistoricPlacesReferenceNumber,National Register Of Historic Places Reference Number,Leku Historikoen Erregistro Nazionalaren erreferentzia zenbakia,(Ingelesez) Leku historikoen erregistro nazionala,Leku Historikoen Erregistro Nazionaleko Erreferentzia Zenbakia,0.9,0.6607,0.96,0.6667,0,1,0,Leku Historikoen Erregistro Nazionaleko Erreferentzia Zenbakia,Leku Historikoen Erregistro Nazionaleko Erreferentzia Zenbakia,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.7033831477165222,0.6983505487442017,0.7274389266967773,salamandra,eu,eu,eu,LekuHistorikoenErregistroNazionalekoErreferentziaZenbakia
relation,eu,abbreviation,abbreviation,laburdura,abbreviation,laburdura,0.9,0.0,1.0,0.0,0,1,0,laburdura,laburdura,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.5575289726257324,,0.5575289726257324,nllb,fr,en,fr,Laburdura
relation,eu,absoluteMagnitude,absolute Magnitude,Tamaina erabatekoa.,Magnitude absolutua,magnitude absolutua,0.9,0.0,0.3684,0.0,0,0,0,magnitude absolutua,magnitude absolutua,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.6119415760040283,,0.8624372482299805,salamandra,eu,en,et,MagnitudeAbsolutua
relation,eu,academicDiscipline,academic Discipline,Diziplina akademikoa,Diziplina akademikoa,Diziplina akademikoa,0.9,1.0,1.0,1.0,1,1,1,Diziplina akademikoa,Diziplina akademikoa,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.8473589420318604,0.8473589420318604,0.8473589420318604,nllb,lt,lt,lt,DiziplinaAkademikoa
